"MacroTrends Data Download"
"Gold Prices - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1915-01-01,600.95,19.250
1915-02-01,606.95,19.250
1915-03-01,613.09,19.250
1915-04-01,606.95,19.250
1915-05-01,600.95,19.250
1915-06-01,600.95,19.250
1915-07-01,600.95,19.250
1915-08-01,600.95,19.250
1915-09-01,600.95,19.250
1915-10-01,595.06,19.250
1915-11-01,589.28,19.250
1915-12-01,589.28,19.250
1916-01-01,590.27,19.470
1916-02-01,590.27,19.470
1916-03-01,584.66,19.470
1916-04-01,579.14,19.470
1916-05-01,573.72,19.470
1916-06-01,568.43,19.470
1916-07-01,568.43,19.470
1916-08-01,563.21,19.470
1916-09-01,553.05,19.470
1916-10-01,543.27,19.470
1916-11-01,533.81,19.470
1916-12-01,529.21,19.470
1917-01-01,529.82,19.660
1917-02-01,516.57,19.660
1917-03-01,516.57,19.660
1917-04-01,491.97,19.660
1917-05-01,484.28,19.660
1917-06-01,476.83,19.660
1917-07-01,484.28,19.660
1917-08-01,476.83,19.660
1917-09-01,466.08,19.660
1917-10-01,459.18,19.660
1917-11-01,459.18,19.660
1917-12-01,452.47,19.660
1918-01-01,446.84,19.840
1918-02-01,443.66,19.840
1918-03-01,446.84,19.840
1918-04-01,440.53,19.840
1918-05-01,431.42,19.840
1918-06-01,425.55,19.840
1918-07-01,414.28,19.840
1918-08-01,406.20,19.840
1918-09-01,398.45,19.840
1918-10-01,390.97,19.840
1918-11-01,383.78,19.840
1918-12-01,379.12,19.840
1919-01-01,382.75,20.030
1919-02-01,389.84,20.030
1919-03-01,385.10,20.030
1919-04-01,378.17,20.030
1919-05-01,373.70,20.030
1919-06-01,373.70,20.030
1919-07-01,362.96,20.030
1919-08-01,356.81,20.030
1919-09-01,354.81,20.030
1919-10-01,348.92,20.030
1919-11-01,341.37,20.030
1919-12-01,334.16,20.030
1920-01-01,337.03,20.630
1920-02-01,333.57,20.630
1920-03-01,330.18,20.630
1920-04-01,320.43,20.630
1920-05-01,315.76,20.630
1920-06-01,311.22,20.630
1920-07-01,312.73,20.630
1920-08-01,320.43,20.630
1920-09-01,325.23,20.630
1920-10-01,326.86,20.630
1920-11-01,328.51,20.630
1920-12-01,335.30,20.630
1921-01-01,343.35,20.690
1921-02-01,354.54,20.690
1921-03-01,356.49,20.690
1921-04-01,360.42,20.690
1921-05-01,368.57,20.690
1921-06-01,370.66,20.690
1921-07-01,368.57,20.690
1921-08-01,368.57,20.690
1921-09-01,372.77,20.690
1921-10-01,372.77,20.690
1921-11-01,374.92,20.690
1921-12-01,377.08,20.690
1922-01-01,388.81,20.840
1922-02-01,388.81,20.840
1922-03-01,393.46,20.840
1922-04-01,393.46,20.840
1922-05-01,393.46,20.840
1922-06-01,393.46,20.840
1922-07-01,391.13,20.840
1922-08-01,395.83,20.840
1922-09-01,395.83,20.840
1922-10-01,393.46,20.840
1922-11-01,391.13,20.840
1922-12-01,388.81,20.840
1923-01-01,389.44,20.750
1923-02-01,389.44,20.750
1923-03-01,389.44,20.750
1923-04-01,387.13,20.750
1923-05-01,387.13,20.750
1923-06-01,384.85,20.750
1923-07-01,380.37,20.750
1923-08-01,382.61,20.750
1923-09-01,380.37,20.750
1923-10-01,378.17,20.750
1923-11-01,378.17,20.750
1923-12-01,378.17,20.750
1924-01-01,378.72,20.780
1924-02-01,380.92,20.780
1924-03-01,383.16,20.780
1924-04-01,385.41,20.780
1924-05-01,385.41,20.780
1924-06-01,385.41,20.780
1924-07-01,383.16,20.780
1924-08-01,385.41,20.780
1924-09-01,383.16,20.780
1924-10-01,380.92,20.780
1924-11-01,380.92,20.780
1924-12-01,378.72,20.780
1925-01-01,378.17,20.750
1925-02-01,380.37,20.750
1925-03-01,378.17,20.750
1925-04-01,380.37,20.750
1925-05-01,378.17,20.750
1925-06-01,373.85,20.750
1925-07-01,369.64,20.750
1925-08-01,369.64,20.750
1925-09-01,369.64,20.750
1925-10-01,369.64,20.750
1925-11-01,363.48,20.750
1925-12-01,365.51,20.750
1926-01-01,364.98,20.720
1926-02-01,364.98,20.720
1926-03-01,367.03,20.720
1926-04-01,364.98,20.720
1926-05-01,367.03,20.720
1926-06-01,369.11,20.720
1926-07-01,373.31,20.720
1926-08-01,375.47,20.720
1926-09-01,373.31,20.720
1926-10-01,371.20,20.720
1926-11-01,369.11,20.720
1926-12-01,369.11,20.720
1927-01-01,373.85,20.750
1927-02-01,376.01,20.750
1927-03-01,378.17,20.750
1927-04-01,378.17,20.750
1927-05-01,376.01,20.750
1927-06-01,371.74,20.750
1927-07-01,378.17,20.750
1927-08-01,380.37,20.750
1927-09-01,378.17,20.750
1927-10-01,376.01,20.750
1927-11-01,378.17,20.750
1927-12-01,378.17,20.750
1928-01-01,378.72,20.780
1928-02-01,383.16,20.780
1928-03-01,383.16,20.780
1928-04-01,383.16,20.780
1928-05-01,380.92,20.780
1928-06-01,383.16,20.780
1928-07-01,383.16,20.780
1928-08-01,383.16,20.780
1928-09-01,378.72,20.780
1928-10-01,380.92,20.780
1928-11-01,380.92,20.780
1928-12-01,383.16,20.780
1929-01-01,382.06,20.720
1929-02-01,382.06,20.720
1929-03-01,384.29,20.720
1929-04-01,386.57,20.720
1929-05-01,384.29,20.720
1929-06-01,382.06,20.720
1929-07-01,377.62,20.720
1929-08-01,377.62,20.720
1929-09-01,377.62,20.720
1929-10-01,377.62,20.720
1929-11-01,377.62,20.720
1929-12-01,379.82,20.720
1930-01-01,381.50,20.690
1930-02-01,383.74,20.690
1930-03-01,386.01,20.690
1930-04-01,383.74,20.690
1930-05-01,386.01,20.690
1930-06-01,388.31,20.690
1930-07-01,392.99,20.690
1930-08-01,395.37,20.690
1930-09-01,392.99,20.690
1930-10-01,395.37,20.690
1930-11-01,397.79,20.690
1930-12-01,405.19,20.690
1931-01-01,447.96,22.590
1931-02-01,453.67,22.590
1931-03-01,456.59,22.590
1931-04-01,459.53,22.590
1931-05-01,465.53,22.590
1931-06-01,471.70,22.590
1931-07-01,471.70,22.590
1931-08-01,471.70,22.590
1931-09-01,474.84,22.590
1931-10-01,478.03,22.590
1931-11-01,484.53,22.590
1931-12-01,487.85,22.590
1932-01-01,458.18,20.780
1932-02-01,464.68,20.780
1932-03-01,468.01,20.780
1932-04-01,471.37,20.780
1932-05-01,478.25,20.780
1932-06-01,481.76,20.780
1932-07-01,481.76,20.780
1932-08-01,485.34,20.780
1932-09-01,488.95,20.780
1932-10-01,492.63,20.780
1932-11-01,496.35,20.780
1932-12-01,500.15,20.780
1933-01-01,646.98,26.470
1933-02-01,657.17,26.470
1933-03-01,662.39,26.470
1933-04-01,662.39,26.470
1933-05-01,662.39,26.470
1933-06-01,657.17,26.470
1933-07-01,637.11,26.470
1933-08-01,632.26,26.470
1933-09-01,632.26,26.470
1933-10-01,632.26,26.470
1933-11-01,632.26,26.470
1933-12-01,632.26,26.470
1934-01-01,836.01,35.000
1934-02-01,829.75,35.000
1934-03-01,829.75,35.000
1934-04-01,829.75,35.000
1934-05-01,829.75,35.000
1934-06-01,823.55,35.000
1934-07-01,823.55,35.000
1934-08-01,823.55,35.000
1934-09-01,811.44,35.000
1934-10-01,817.46,35.000
1934-11-01,817.46,35.000
1934-12-01,823.55,35.000
1935-01-01,811.44,35.000
1935-02-01,805.53,35.000
1935-03-01,805.53,35.000
1935-04-01,799.68,35.000
1935-05-01,799.68,35.000
1935-06-01,805.53,35.000
1935-07-01,805.53,35.000
1935-08-01,805.53,35.000
1935-09-01,805.53,35.000
1935-10-01,805.53,35.000
1935-11-01,799.68,35.000
1935-12-01,799.68,35.000
1936-01-01,799.68,35.000
1936-02-01,799.68,35.000
1936-03-01,805.53,35.000
1936-04-01,805.53,35.000
1936-05-01,805.53,35.000
1936-06-01,799.68,35.000
1936-07-01,793.94,35.000
1936-08-01,788.27,35.000
1936-09-01,788.27,35.000
1936-10-01,788.27,35.000
1936-11-01,788.27,35.000
1936-12-01,788.27,35.000
1937-01-01,782.67,35.000
1937-02-01,782.67,35.000
1937-03-01,777.14,35.000
1937-04-01,771.72,35.000
1937-05-01,766.36,35.000
1937-06-01,766.36,35.000
1937-07-01,761.08,35.000
1937-08-01,761.08,35.000
1937-09-01,755.86,35.000
1937-10-01,755.86,35.000
1937-11-01,761.08,35.000
1937-12-01,766.36,35.000
1938-01-01,777.14,35.000
1938-02-01,782.67,35.000
1938-03-01,782.67,35.000
1938-04-01,777.14,35.000
1938-05-01,782.67,35.000
1938-06-01,782.67,35.000
1938-07-01,782.67,35.000
1938-08-01,782.67,35.000
1938-09-01,782.67,35.000
1938-10-01,788.27,35.000
1938-11-01,788.27,35.000
1938-12-01,788.27,35.000
1939-01-01,781.29,34.690
1939-02-01,786.91,34.690
1939-03-01,786.91,34.690
1939-04-01,792.60,34.690
1939-05-01,792.60,34.690
1939-06-01,792.60,34.690
1939-07-01,792.60,34.690
1939-08-01,792.60,34.690
1939-09-01,775.74,34.690
1939-10-01,781.29,34.690
1939-11-01,781.29,34.690
1939-12-01,781.29,34.690
1940-01-01,772.62,34.060
1940-02-01,767.10,34.060
1940-03-01,767.10,34.060
1940-04-01,767.10,34.060
1940-05-01,767.10,34.060
1940-06-01,761.65,34.060
1940-07-01,767.10,34.060
1940-08-01,767.10,34.060
1940-09-01,767.10,34.060
1940-10-01,767.10,34.060
1940-11-01,767.10,34.060
1940-12-01,761.65,34.060
1941-01-01,761.65,34.060
1941-02-01,761.65,34.060
1941-03-01,756.27,34.060
1941-04-01,750.99,34.060
1941-05-01,745.78,34.060
1941-06-01,730.55,34.060
1941-07-01,730.55,34.060
1941-08-01,720.74,34.060
1941-09-01,711.21,34.060
1941-10-01,701.91,34.060
1941-11-01,697.34,34.060
1941-12-01,692.85,34.060
1942-01-01,684.03,34.060
1942-02-01,679.70,34.060
1942-03-01,671.19,34.060
1942-04-01,667.03,34.060
1942-05-01,658.86,34.060
1942-06-01,658.86,34.060
1942-07-01,654.84,34.060
1942-08-01,650.85,34.060
1942-09-01,650.85,34.060
1942-10-01,643.05,34.060
1942-11-01,639.24,34.060
1942-12-01,635.46,34.060
1943-01-01,635.46,34.060
1943-02-01,635.46,34.060
1943-03-01,624.35,34.060
1943-04-01,617.20,34.060
1943-05-01,613.66,34.060
1943-06-01,613.66,34.060
1943-07-01,617.20,34.060
1943-08-01,620.74,34.060
1943-09-01,617.20,34.060
1943-10-01,617.20,34.060
1943-11-01,617.20,34.060
1943-12-01,617.20,34.060
1944-01-01,617.20,34.060
1944-02-01,617.20,34.060
1944-03-01,617.20,34.060
1944-04-01,613.66,34.060
1944-05-01,613.66,34.060
1944-06-01,610.18,34.060
1944-07-01,606.74,34.060
1944-08-01,606.74,34.060
1944-09-01,606.74,34.060
1944-10-01,606.74,34.060
1944-11-01,606.74,34.060
1944-12-01,603.34,34.060
1945-01-01,619.99,35.000
1945-02-01,619.99,35.000
1945-03-01,619.99,35.000
1945-04-01,619.99,35.000
1945-05-01,616.53,35.000
1945-06-01,609.70,35.000
1945-07-01,609.70,35.000
1945-08-01,609.70,35.000
1945-09-01,609.70,35.000
1945-10-01,609.70,35.000
1945-11-01,609.70,35.000
1945-12-01,606.34,35.000
1946-01-01,606.34,35.000
1946-02-01,609.70,35.000
1946-03-01,603.05,35.000
1946-04-01,599.76,35.000
1946-05-01,596.51,35.000
1946-06-01,590.14,35.000
1946-07-01,557.34,35.000
1946-08-01,546.32,35.000
1946-09-01,540.96,35.000
1946-10-01,530.57,35.000
1946-11-01,518.11,35.000
1946-12-01,513.28,35.000
1947-01-01,513.28,35.000
1947-02-01,513.28,35.000
1947-03-01,503.90,35.000
1947-04-01,503.90,35.000
1947-05-01,503.90,35.000
1947-06-01,501.62,35.000
1947-07-01,497.11,35.000
1947-08-01,490.46,35.000
1947-09-01,479.82,35.000
1947-10-01,479.82,35.000
1947-11-01,477.72,35.000
1947-12-01,471.59,35.000
1948-01-01,465.64,35.000
1948-02-01,469.60,35.000
1948-03-01,471.59,35.000
1948-04-01,463.68,35.000
1948-05-01,461.76,35.000
1948-06-01,457.91,35.000
1948-07-01,452.27,35.000
1948-08-01,450.42,35.000
1948-09-01,450.42,35.000
1948-10-01,452.27,35.000
1948-11-01,456.02,35.000
1948-12-01,457.91,35.000
1949-01-01,418.84,31.880
1949-02-01,422.35,31.880
1949-03-01,422.35,31.880
1949-04-01,420.59,31.880
1949-05-01,422.35,31.880
1949-06-01,420.59,31.880
1949-07-01,424.13,31.880
1949-08-01,422.35,31.880
1949-09-01,420.59,31.880
1949-10-01,424.13,31.880
1949-11-01,422.35,31.880
1949-12-01,425.92,31.880
1950-01-01,469.60,35.000
1950-02-01,469.60,35.000
1950-03-01,467.60,35.000
1950-04-01,467.60,35.000
1950-05-01,465.64,35.000
1950-06-01,463.68,35.000
1950-07-01,457.91,35.000
1950-08-01,454.13,35.000
1950-09-01,452.27,35.000
1950-10-01,448.60,35.000
1950-11-01,446.78,35.000
1950-12-01,441.42,35.000
1951-01-01,434.46,35.000
1951-02-01,429.42,35.000
1951-03-01,427.74,35.000
1951-04-01,427.74,35.000
1951-05-01,426.09,35.000
1951-06-01,426.09,35.000
1951-07-01,426.09,35.000
1951-08-01,426.09,35.000
1951-09-01,422.80,35.000
1951-10-01,421.19,35.000
1951-11-01,418.01,35.000
1951-12-01,416.43,35.000
1952-01-01,412.74,34.690
1952-02-01,415.90,34.690
1952-03-01,415.90,34.690
1952-04-01,414.30,34.690
1952-05-01,414.30,34.690
1952-06-01,412.74,34.690
1952-07-01,409.65,34.690
1952-08-01,409.65,34.690
1952-09-01,409.65,34.690
1952-10-01,409.65,34.690
1952-11-01,409.65,34.690
1952-12-01,409.65,34.690
1953-01-01,414.86,35.000
1953-02-01,416.43,35.000
1953-03-01,414.86,35.000
1953-04-01,414.86,35.000
1953-05-01,413.32,35.000
1953-06-01,411.78,35.000
1953-07-01,411.78,35.000
1953-08-01,410.24,35.000
1953-09-01,410.24,35.000
1953-10-01,408.73,35.000
1953-11-01,410.24,35.000
1953-12-01,410.24,35.000
1954-01-01,413.87,35.310
1954-02-01,413.87,35.310
1954-03-01,413.87,35.310
1954-04-01,415.42,35.310
1954-05-01,413.87,35.310
1954-06-01,413.87,35.310
1954-07-01,413.87,35.310
1954-08-01,413.87,35.310
1954-09-01,415.42,35.310
1954-10-01,415.42,35.310
1954-11-01,415.42,35.310
1954-12-01,416.98,35.310
1955-01-01,416.98,35.310
1955-02-01,416.98,35.310
1955-03-01,416.98,35.310
1955-04-01,416.98,35.310
1955-05-01,416.98,35.310
1955-06-01,416.98,35.310
1955-07-01,415.42,35.310
1955-08-01,415.42,35.310
1955-09-01,413.87,35.310
1955-10-01,413.87,35.310
1955-11-01,413.87,35.310
1955-12-01,415.42,35.310
1956-01-01,415.42,35.310
1956-02-01,415.42,35.310
1956-03-01,415.42,35.310
1956-04-01,413.87,35.310
1956-05-01,412.35,35.310
1956-06-01,409.31,35.310
1956-07-01,406.31,35.310
1956-08-01,407.80,35.310
1956-09-01,406.31,35.310
1956-10-01,404.83,35.310
1956-11-01,404.83,35.310
1956-12-01,403.38,35.310
1957-01-01,399.84,35.000
1957-02-01,398.41,35.000
1957-03-01,396.97,35.000
1957-04-01,395.54,35.000
1957-05-01,394.14,35.000
1957-06-01,392.74,35.000
1957-07-01,389.94,35.000
1957-08-01,389.94,35.000
1957-09-01,389.94,35.000
1957-10-01,389.94,35.000
1957-11-01,388.57,35.000
1957-12-01,388.57,35.000
1958-01-01,389.29,35.310
1958-02-01,389.29,35.310
1958-03-01,386.57,35.310
1958-04-01,385.23,35.310
1958-05-01,385.23,35.310
1958-06-01,385.23,35.310
1958-07-01,383.89,35.310
1958-08-01,385.23,35.310
1958-09-01,385.23,35.310
1958-10-01,385.23,35.310
1958-11-01,383.89,35.310
1958-12-01,385.23,35.310
1959-01-01,383.89,35.310
1959-02-01,385.23,35.310
1959-03-01,385.23,35.310
1959-04-01,383.89,35.310
1959-05-01,383.89,35.310
1959-06-01,382.58,35.310
1959-07-01,381.28,35.310
1959-08-01,381.28,35.310
1959-09-01,379.97,35.310
1959-10-01,378.70,35.310
1959-11-01,378.70,35.310
1959-12-01,378.70,35.310
1960-01-01,379.97,35.310
1960-02-01,378.70,35.310
1960-03-01,378.70,35.310
1960-04-01,377.39,35.310
1960-05-01,377.39,35.310
1960-06-01,376.12,35.310
1960-07-01,376.12,35.310
1960-08-01,376.12,35.310
1960-09-01,376.12,35.310
1960-10-01,373.62,35.310
1960-11-01,373.62,35.310
1960-12-01,373.62,35.310
1961-01-01,373.62,35.310
1961-02-01,373.62,35.310
1961-03-01,373.62,35.310
1961-04-01,373.62,35.310
1961-05-01,373.62,35.310
1961-06-01,373.62,35.310
1961-07-01,371.11,35.310
1961-08-01,372.34,35.310
1961-09-01,371.11,35.310
1961-10-01,371.11,35.310
1961-11-01,371.11,35.310
1961-12-01,371.11,35.310
1962-01-01,371.11,35.310
1962-02-01,369.87,35.310
1962-03-01,369.87,35.310
1962-04-01,368.64,35.310
1962-05-01,368.64,35.310
1962-06-01,368.64,35.310
1962-07-01,367.44,35.310
1962-08-01,367.44,35.310
1962-09-01,366.24,35.310
1962-10-01,366.24,35.310
1962-11-01,366.24,35.310
1962-12-01,366.24,35.310
1963-01-01,366.24,35.310
1963-02-01,366.24,35.310
1963-03-01,365.03,35.310
1963-04-01,365.03,35.310
1963-05-01,365.03,35.310
1963-06-01,363.83,35.310
1963-07-01,362.63,35.310
1963-08-01,362.63,35.310
1963-09-01,362.63,35.310
1963-10-01,361.47,35.310
1963-11-01,361.47,35.310
1963-12-01,360.30,35.310
1964-01-01,360.30,35.310
1964-02-01,360.30,35.310
1964-03-01,360.30,35.310
1964-04-01,360.30,35.310
1964-05-01,360.30,35.310
1964-06-01,359.14,35.310
1964-07-01,357.97,35.310
1964-08-01,359.14,35.310
1964-09-01,357.97,35.310
1964-10-01,357.97,35.310
1964-11-01,356.84,35.310
1964-12-01,356.84,35.310
1965-01-01,356.84,35.310
1965-02-01,356.84,35.310
1965-03-01,355.71,35.310
1965-04-01,354.55,35.310
1965-05-01,354.55,35.310
1965-06-01,352.32,35.310
1965-07-01,352.32,35.310
1965-08-01,352.32,35.310
1965-09-01,352.32,35.310
1965-10-01,351.19,35.310
1965-11-01,351.19,35.310
1965-12-01,350.10,35.310
1966-01-01,350.10,35.310
1966-02-01,347.91,35.310
1966-03-01,346.81,35.310
1966-04-01,344.70,35.310
1966-05-01,344.70,35.310
1966-06-01,343.64,35.310
1966-07-01,342.58,35.310
1966-08-01,340.46,35.310
1966-09-01,340.46,35.310
1966-10-01,338.41,35.310
1966-11-01,338.41,35.310
1966-12-01,338.41,35.310
1967-01-01,338.41,35.310
1967-02-01,338.41,35.310
1967-03-01,337.39,35.310
1967-04-01,336.36,35.310
1967-05-01,335.34,35.310
1967-06-01,334.32,35.310
1967-07-01,333.33,35.310
1967-08-01,332.34,35.310
1967-09-01,331.35,35.310
1967-10-01,330.36,35.310
1967-11-01,329.37,35.310
1967-12-01,328.42,35.310
1968-01-01,372.71,40.310
1968-02-01,371.62,40.310
1968-03-01,370.53,40.310
1968-04-01,369.48,40.310
1968-05-01,368.39,40.310
1968-06-01,366.26,40.310
1968-07-01,364.16,40.310
1968-08-01,363.15,40.310
1968-09-01,362.10,40.310
1968-10-01,360.05,40.310
1968-11-01,359.04,40.310
1968-12-01,358.03,40.310
1969-01-01,370.93,41.880
1969-02-01,368.84,41.880
1969-03-01,365.78,41.880
1969-04-01,363.77,41.880
1969-05-01,362.76,41.880
1969-06-01,360.80,41.880
1969-07-01,358.83,41.880
1969-08-01,356.90,41.880
1969-09-01,355.94,41.880
1969-10-01,354.01,41.880
1969-11-01,352.13,41.880
1969-12-01,350.24,41.880
1970-01-01,304.95,36.560
1970-02-01,303.34,36.560
1970-03-01,301.77,36.560
1970-04-01,299.43,36.560
1970-05-01,298.62,36.560
1970-06-01,297.09,36.560
1970-07-01,295.59,36.560
1970-08-01,295.59,36.560
1970-09-01,294.05,36.560
1970-10-01,292.59,36.560
1970-11-01,291.09,36.560
